FITS File,CDELT1 (arcsec/pixel),CDELT2 (arcsec/pixel),Pixel Scale (pc/pixel)
jw01328-c1006_t014_miri_ch1-short_s3d.fits,3.61111097865634e-05,3.61111097865634e-05,0.012370094745285456
jw01328-c1006_t014_miri_ch1-medium_s3d.fits,3.61111097865634e-05,3.61111097865634e-05,0.012370094745285456
jw01328-c1006_t014_miri_ch1-long_s3d.fits,3.61111097865634e-05,3.61111097865634e-05,0.012370094745285456
jw01328-c1006_t014_miri_ch2-short_s3d.fits,4.72222227189275e-05,4.72222227189275e-05,0.016176278507326815
jw01328-c1006_t014_miri_ch2-medium_s3d.fits,4.72222227189275e-05,4.72222227189275e-05,0.016176278507326815
jw01328-c1006_t014_miri_ch2-long_s3d.fits,4.72222227189275e-05,4.72222227189275e-05,0.016176278507326815
jw01328-c1006_t014_miri_ch3-short_s3d.fits,5.55555563833978e-05,5.55555563833978e-05,0.019030915974379437
jw01328-c1006_t014_miri_ch3-medium_s3d.fits,5.55555563833978e-05,5.55555563833978e-05,0.019030915974379437
jw01328-c1006_t014_miri_ch3-long_s3d.fits,5.55555563833978e-05,5.55555563833978e-05,0.019030915974379437
jw01328-c1006_t014_miri_ch4-short_s3d.fits,9.72222205665376e-05,9.72222205665376e-05,0.03330410189172874
jw01328-c1006_t014_miri_ch4-medium_s3d.fits,9.72222205665376e-05,9.72222205665376e-05,0.03330410189172874
jw01328-c1006_t014_miri_ch4-long_s3d.fits,9.72222205665376e-05,9.72222205665376e-05,0.03330410189172874
